ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_24_KA,1,2,35,8,3,-4.5418585154489,-2.61935820302973,30.8317978062632,177.17072147651,149,0.271604938271605,0.135802469135802
01_24_KA,1,2,35,8,2,-4.89786390257129,-3.84397920813736,12.6327516225064,186.059397163121,141,0.0833333333333333,0.0434782608695652
01_24_KA,1,2,35,8,4,-4.72053071862893,-2.5245135906729,24.639021259026,179.133628731343,134,0.242105263157895,0.137724550898204
01_25_TP,1,2,39,13,1,-4.18984958769448,-2.56108604707938,7.53495496038678,204.978330291971,137,0.149532710280374,0.0769230769230769
01_25_TP,1,2,39,13,3,-3.02094668943823,-1.49170406185745,25.7770902971846,184.297449448529,136,0.103448275862069,0.0497237569060773
01_25_TP,1,2,39,13,2,-2.80734006133015,-2.20103797499319,4.18501793039766,209.065193965517,145,0.0934579439252336,0.0471698113207547
01_25_TP,1,2,39,13,4,-3.19539878583931,-2.37770529990982,5.56098788362338,211.501430457746,142,0.073394495412844,0.0363636363636364
01_26_KA,1,2,32,16,1,-1.15541298759199,0.450187979671467,17.3229345258778,178.975896317829,129,0.191489361702128,0.0989010989010989
01_26_KA,1,2,32,16,3,0.973541851152375,2.5046116212684,18.5016487775447,145.040760869565,115,0.358208955223881,0.157894736842105
01_26_KA,1,2,32,16,2,-0.555535239060941,0.274374628942518,4.95735470031732,171.160442073171,123,0.0952380952380952,0.0454545454545455
01_26_KA,1,2,32,16,4,0.238708057710123,0.33710733865389,1.53274920001862,183.931508458647,133,0.032258064516129,0.0158730158730159
01_27_KK,1,2,36,9,1,-2.94303656034268,-1.9193531872531,19.7949957282529,199.074559563758,149,0.0825688073394495,0.0407239819004525
01_27_KK,1,2,36,9,3,-2.61422713952711,-1.61647048424627,7.49227854489567,195.241734601449,138,0.111111111111111,0.0552763819095477
01_27_KK,1,2,36,9,2,-2.70736341555198,-1.69587133547909,19.5309678907223,207.308382601351,148,0.0917431192660551,0.045045045045045
01_27_KK,1,2,36,9,4,-3.86310235452993,-2.88963094310274,15.0564638085702,215.304904513889,144,0.0265486725663717,0.0134529147982063
01_28_KC,1,2,36,17,1,-6.37763803295736,-4.92813318892471,10.4800303944162,132.921006944444,126,0.128571428571429,0.0687022900763359
01_28_KC,1,2,36,17,3,-7.9506530381814,-7.29948158092622,14.6296361185862,120.380704365079,126,0.0338983050847458,0.0172413793103448
01_28_KC,1,2,36,17,2,-6.40229989065616,-6.01068882864105,3.45450112974724,141.79081879845,129,0.0666666666666667,0.0344827586206897
01_28_KC,1,2,36,17,4,-6.03755058103469,-4.75574123836296,8.88423498187931,129.644438976378,127,0.0923076923076923,0.0461538461538462
01_29_SD,1,2,21,11,1,-5.38604707405407,-4.60582028632605,5.01439281374724,205.142798013245,151,0.0373831775700935,0.0186915887850467
01_29_SD,1,2,21,11,3,-6.20295383794363,-5.81004949537338,3.10744054510205,135.06711409396,149,0.0434782608695652,0.0215827338129496
01_29_SD,1,2,21,11,2,-6.47852742922538,-5.40446935972722,8.93226363647528,189.114583333333,150,0.21,0.111111111111111
01_29_SD,1,2,21,11,4,-6.33789216137084,-5.58765283506921,9.05223739177916,199.390308277027,148,0.0660377358490566,0.033175355450237
01_30_AM,1,1,18,11,1,-9.99355846652704,-8.76648569607612,13.2434962342268,189.750620860927,151,0.0729166666666667,0.0351758793969849
01_30_AM,1,1,18,11,3,-6.61134998133609,-5.13867744007919,7.86229009256047,167.558310688406,138,0.137931034482759,0.0681818181818182
01_30_AM,1,1,18,11,2,-8.15176061197632,-6.99726015425187,14.5805269082456,178.955078125,144,0.032258064516129,0.0160427807486631
01_30_AM,1,1,18,11,4,-9.12085972076741,-8.37614229696316,3.33510356855209,188.20418792517,147,0.0721649484536082,0.0362694300518135
01_31_MJ,1,2,42,10,1,-2.79342876593225,-1.58740419016161,31.4987640502095,190.523330479452,146,0.681818181818182,0.288461538461538
01_31_MJ,1,2,42,10,3,-2.67075329197977,-1.46913631895981,25.7419113868167,147.454470198675,151,0.173611111111111,0.0871080139372822
01_31_MJ,1,2,42,10,2,-2.37958337625646,-1.25355414244148,25.8944720127945,176.860249125874,143,0.332386363636364,0.174887892376682
01_31_MJ,1,2,42,10,4,-2.66972080851819,-0.988677877501557,34.2375721285983,190.228834219858,141,0.9375,0.373134328358209
01_32_PT,1,2,28,14,1,-6.02605173007862,-4.65320785944999,20.0420786269339,190.844392123288,146,0,0
01_32_PT,1,2,28,14,3,-4.16439922130424,-1.65912553639332,24.5425765089144,156.315104166667,150,0.367816091954023,0.205128205128205
01_32_PT,1,2,28,14,2,-4.21955551143669,-2.77700245032996,13.9589982138265,201.68022260274,146,0.121212121212121,0.0588235294117647
01_32_PT,1,2,28,14,4,-5.7147737758607,-4.09887803456273,18.815423547177,215.383429276316,152,0.361386138613861,0.154334038054968
01_33_GG,1,2,21,11,1,-4.56714612012872,-4.460211747249,0.81043661574082,290.234375,140,0,0
01_33_GG,1,2,21,11,3,-4.71597336084131,-3.81311720130491,32.6590375067264,144.234035326087,138,0.09375,0.0447761194029851
01_33_GG,1,2,21,11,2,-4.3683191649795,-3.11968379991126,20.5985445537815,188.323767006803,147,0.275,0.132176234979973
01_33_GG,1,2,21,11,4,-4.559043235664,-3.21640066760982,20.6922912652552,196.104676573427,143,0.353982300884956,0.21505376344086
01_34_CL,1,2,19,14,1,-5.38614125652208,-3.3108572983542,24.7100825937047,210.328733766234,154,0.352380952380952,0.149797570850202
01_34_CL,1,2,19,14,3,-3.98323964648202,-2.13583476047358,36.3902016414191,170.842456210191,157,0.408163265306122,0.256410256410256
01_34_CL,1,2,19,14,2,-4.96839566366677,-3.09045810429302,18.6891459663432,174.979967948718,156,0.333333333333333,0.2
01_34_CL,1,2,19,14,4,-5.87728389702664,-3.29575857624369,19.424771899783,166.822076612903,155,0.397590361445783,0.192982456140351
